league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,26/11/2023 ,Lpm Bam Mondovì,Volley Hermaea Olbia,3,0,3-0,3,Lpm Bam Mondovì,Lpm Bam Mondovì,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,26/11/2023 ,Pallavolo C.B.L. Costa Volpino,Orocash Picco Lecco,1,3,1-3,4,Orocash Picco Lecco,Pallavolo C.B.L. Costa Volpino,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,26/11/2023 ,Omag-Mt San Giovanni In M.No,Trasporti Bressan Offanengo,3,0,3-0,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,3/12/2023 ,Volley Hermaea Olbia,Omag-Mt San Giovanni In M.No,1,3,1-3,4,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,3/12/2023 ,Orocash Picco Lecco,Ipag S.Lle Ramonda Montecchio,1,3,1-3,4,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,3/12/2023 ,Narconon Volley Melendugno,Lpm Bam Mondovì,3,0,3-0,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Lpm Bam Mondovì,FALSE
Italian Women A2,2023-2024,3/12/2023 ,Cbf Balducci Hr Macerata,Cremonaufficio Esperia Cremona,3,1,3-1,4,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Cremonaufficio Esperia Cremona,FALSE
Italian Women A2,2023-2024,3/12/2023 ,Trasporti Bressan Offanengo,Pallavolo C.B.L. Costa Volpino,3,0,3-0,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,9/12/2023 ,Cremonaufficio Esperia Cremona,Volley Hermaea Olbia,3,1,3-1,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,10/12/2023 ,Lpm Bam Mondovì,Cbf Balducci Hr Macerata,2,3,2-3,5,Cbf Balducci Hr Macerata,Lpm Bam Mondovì,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,10/12/2023 ,Omag-Mt San Giovanni In M.No,Ipag S.Lle Ramonda Montecchio,2,3,2-3,5,Ipag S.Lle Ramonda Montecchio,Omag-Mt San Giovanni In M.No,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,10/12/2023 ,Orocash Picco Lecco,Trasporti Bressan Offanengo,1,3,1-3,4,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,10/12/2023 ,Pallavolo C.B.L. Costa Volpino,Narconon Volley Melendugno,0,3,0-3,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,16/12/2023 ,Cbf Balducci Hr Macerata,Trasporti Bressan Offanengo,0,3,0-3,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,17/12/2023 ,Volley Hermaea Olbia,Pallavolo C.B.L. Costa Volpino,2,3,2-3,5,Pallavolo C.B.L. Costa Volpino,Volley Hermaea Olbia,Pallavolo C.B.L. Costa Volpino,TRUE
Italian Women A2,2023-2024,17/12/2023 ,Ipag S.Lle Ramonda Montecchio,Lpm Bam Mondovì,3,2,3-2,5,Ipag S.Lle Ramonda Montecchio,Lpm Bam Mondovì,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,17/12/2023 ,Omag-Mt San Giovanni In M.No,Cremonaufficio Esperia Cremona,0,3,0-3,3,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Omag-Mt San Giovanni In M.No,FALSE
Italian Women A2,2023-2024,17/12/2023 ,Narconon Volley Melendugno,Orocash Picco Lecco,3,1,3-1,4,Narconon Volley Melendugno,Narconon Volley Melendugno,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,23/12/2023 ,Orocash Picco Lecco,Cbf Balducci Hr Macerata,2,3,2-3,5,Cbf Balducci Hr Macerata,Orocash Picco Lecco,Cbf Balducci Hr Macerata,TRUE
