league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
VNL Women,2023,2023/6/16,Serbia,Thailand,3,2,3-2,5,Serbia,Thailand,Serbia,TRUE
VNL Women,2023,2023/6/17,Canada,Dominican Republic,2,3,2-3,5,Dominican Republic,Canada,Dominican Republic,TRUE
VNL Women,2023,2023/6/17,Italy,Netherlands,3,2,3-2,5,Italy,Netherlands,Italy,TRUE
VNL Women,2023,2023/6/17,China,Poland,0,3,0-3,3,Poland,Poland,China,FALSE
VNL Women,2023,2023/6/17,Brazil,Germany,3,1,3-1,4,Brazil,Brazil,Germany,FALSE
VNL Women,2023,2023/6/17,Japan,United States,3,2,3-2,5,Japan,United States,Japan,TRUE
VNL Women,2023,2023/6/17,Croatia,Serbia,1,3,1-3,4,Serbia,Serbia,Croatia,FALSE
VNL Women,2023,2023/6/18,Bulgaria,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Bulgaria,FALSE
VNL Women,2023,2023/6/18,Dominican Republic,Türkiye,1,3,1-3,4,Türkiye,Türkiye,Dominican Republic,FALSE
VNL Women,2023,2023/6/18,China,Italy,2,3,2-3,5,Italy,China,Italy,TRUE
VNL Women,2023,2023/6/18,Brazil,United States,0,3,0-3,3,United States,United States,Brazil,FALSE
VNL Women,2023,2023/6/18,Croatia,Thailand,3,0,3-0,3,Croatia,Croatia,Thailand,FALSE
VNL Women,2023,2023/6/18,Germany,Korea,3,1,3-1,4,Germany,Germany,Korea,FALSE
VNL Women,2023,2023/6/27,Dominican Republic,Germany,1,3,1-3,4,Germany,Germany,Dominican Republic,FALSE
VNL Women,2023,2023/6/27,Canada,Croatia,3,0,3-0,3,Canada,Canada,Croatia,FALSE
VNL Women,2023,2023/6/27,Bulgaria,Korea,3,1,3-1,4,Bulgaria,Bulgaria,Korea,FALSE
VNL Women,2023,2023/6/27,Netherlands,Thailand,3,0,3-0,3,Netherlands,Netherlands,Thailand,FALSE
VNL Women,2023,2023/6/28,Poland,United States,2,3,2-3,5,United States,Poland,United States,TRUE
VNL Women,2023,2023/6/28,Japan,Türkiye,3,2,3-2,5,Japan,Japan,Türkiye,FALSE
VNL Women,2023,2023/6/28,China,Serbia,1,3,1-3,4,Serbia,Serbia,China,FALSE
VNL Women,2023,2023/6/28,Brazil,Italy,3,2,3-2,5,Brazil,Italy,Brazil,TRUE
VNL Women,2023,2023/6/29,Germany,Poland,2,3,2-3,5,Poland,Germany,Poland,TRUE
VNL Women,2023,2023/6/29,Croatia,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Croatia,FALSE
VNL Women,2023,2023/6/29,Bulgaria,United States,0,3,0-3,3,United States,United States,Bulgaria,FALSE
VNL Women,2023,2023/6/29,Brazil,Canada,2,3,2-3,5,Canada,Brazil,Canada,TRUE
VNL Women,2023,2023/6/29,Dominican Republic,Korea,3,0,3-0,3,Dominican Republic,Dominican Republic,Korea,FALSE
VNL Women,2023,2023/6/29,Thailand,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Thailand,FALSE
VNL Women,2023,2023/6/30,Bulgaria,Poland,1,3,1-3,4,Poland,Bulgaria,Poland,TRUE
VNL Women,2023,2023/6/30,Canada,Italy,2,3,2-3,5,Italy,Canada,Italy,TRUE
VNL Women,2023,2023/6/30,Germany,Serbia,1,3,1-3,4,Serbia,Serbia,Germany,FALSE
VNL Women,2023,2023/6/30,Japan,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Japan,FALSE
VNL Women,2023,2023/6/30,China,Dominican Republic,2,3,2-3,5,Dominican Republic,China,Dominican Republic,TRUE
VNL Women,2023,2023/6/30,Brazil,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Brazil,FALSE
VNL Women,2023,2023/7/1,Dominican Republic,Serbia,3,2,3-2,5,Dominican Republic,Serbia,Dominican Republic,TRUE
VNL Women,2023,2023/7/1,China,Korea,3,1,3-1,4,China,China,Korea,FALSE
VNL Women,2023,2023/7/1,Croatia,Italy,0,3,0-3,3,Italy,Italy,Croatia,FALSE
VNL Women,2023,2023/7/1,Germany,United States,1,3,1-3,4,United States,United States,Germany,FALSE
VNL Women,2023,2023/7/1,Canada,Netherlands,3,2,3-2,5,Canada,Netherlands,Canada,TRUE
VNL Women,2023,2023/7/1,Japan,Thailand,3,0,3-0,3,Japan,Japan,Thailand,FALSE
VNL Women,2023,2023/7/2,Bulgaria,Serbia,2,3,2-3,5,Serbia,Bulgaria,Serbia,TRUE
VNL Women,2023,2023/7/2,Korea,Poland,0,3,0-3,3,Poland,Poland,Korea,FALSE
VNL Women,2023,2023/7/2,Croatia,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Croatia,FALSE
VNL Women,2023,2023/7/2,China,United States,3,2,3-2,5,China,United States,China,TRUE
VNL Women,2023,2023/7/2,Italy,Japan,3,1,3-1,4,Italy,Italy,Japan,FALSE
VNL Women,2023,2023/7/2,Brazil,Thailand,3,0,3-0,3,Brazil,Brazil,Thailand,FALSE
VNL Women,2023,2023/7/12,Germany,Poland,1,3,1-3,4,Poland,Poland,Germany,FALSE
VNL Women,2023,2023/7/12,Japan,United States,1,3,1-3,4,United States,United States,Japan,FALSE
VNL Women,2023,2023/7/13,Brazil,China,1,3,1-3,4,China,China,Brazil,FALSE
VNL Women,2023,2023/7/13,Italy,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Italy,FALSE
VNL Women,2023,2023/7/15,China,Poland,3,0,3-0,3,China,China,Poland,FALSE
VNL Women,2023,2023/7/15,Türkiye,United States,3,1,3-1,4,Türkiye,Türkiye,United States,FALSE
VNL Women,2023,2023/7/16,Poland,United States,3,2,3-2,5,Poland,Poland,United States,FALSE
VNL Women,2023,2023/7/16,China,Türkiye,1,3,1-3,4,Türkiye,Türkiye,China,FALSE
VNL Men,2023,2023/6/6,Bulgaria,China,2,3,2-3,5,China,China,Bulgaria,FALSE
VNL Men,2023,2023/6/6,Iran,Japan,0,3,0-3,3,Japan,Japan,Iran,FALSE
VNL Men,2023,2023/6/6,Argentina,Italy,3,0,3-0,3,Argentina,Argentina,Italy,FALSE
VNL Men,2023,2023/6/6,Canada,Cuba,3,2,3-2,5,Canada,Canada,Cuba,FALSE
VNL Men,2023,2023/6/7,Serbia,Slovenia,1,3,1-3,4,Slovenia,Slovenia,Serbia,FALSE
VNL Men,2023,2023/6/7,France,Poland,1,3,1-3,4,Poland,Poland,France,FALSE
VNL Men,2023,2023/6/7,Netherlands,United States,0,3,0-3,3,United States,United States,Netherlands,FALSE
VNL Men,2023,2023/6/7,Brazil,Germany,3,1,3-1,4,Brazil,Brazil,Germany,FALSE
VNL Men,2023,2023/6/8,Bulgaria,Slovenia,3,0,3-0,3,Bulgaria,Bulgaria,Slovenia,FALSE
VNL Men,2023,2023/6/8,China,Serbia,0,3,0-3,3,Serbia,Serbia,China,FALSE
VNL Men,2023,2023/6/8,Iran,Poland,2,3,2-3,5,Poland,Iran,Poland,TRUE
VNL Men,2023,2023/6/8,Cuba,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Cuba,FALSE
VNL Men,2023,2023/6/8,Italy,United States,0,3,0-3,3,United States,United States,Italy,FALSE
VNL Men,2023,2023/6/8,Argentina,Brazil,2,3,2-3,5,Brazil,Argentina,Brazil,TRUE
VNL Men,2023,2023/6/9,China,France,1,3,1-3,4,France,France,China,FALSE
VNL Men,2023,2023/6/9,Bulgaria,Poland,2,3,2-3,5,Poland,Bulgaria,Poland,TRUE
VNL Men,2023,2023/6/9,Japan,Serbia,3,1,3-1,4,Japan,Serbia,Japan,TRUE
VNL Men,2023,2023/6/9,Germany,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Germany,FALSE
VNL Men,2023,2023/6/9,Cuba,Italy,1,3,1-3,4,Italy,Italy,Cuba,FALSE
VNL Men,2023,2023/6/9,Argentina,Canada,3,1,3-1,4,Argentina,Argentina,Canada,FALSE
VNL Men,2023,2023/6/10,France,Slovenia,1,3,1-3,4,Slovenia,Slovenia,France,FALSE
VNL Men,2023,2023/6/10,China,Iran,1,3,1-3,4,Iran,China,Iran,TRUE
VNL Men,2023,2023/6/10,Bulgaria,Japan,0,3,0-3,3,Japan,Japan,Bulgaria,FALSE
VNL Men,2023,2023/6/10,Germany,Italy,1,3,1-3,4,Italy,Italy,Germany,FALSE
VNL Men,2023,2023/6/10,Brazil,Cuba,2,3,2-3,5,Cuba,Cuba,Brazil,FALSE
VNL Men,2023,2023/6/10,Canada,United States,0,3,0-3,3,United States,United States,Canada,FALSE
VNL Men,2023,2023/6/11,Iran,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Iran,FALSE
VNL Men,2023,2023/6/11,Poland,Serbia,0,3,0-3,3,Serbia,Serbia,Poland,FALSE
VNL Men,2023,2023/6/11,France,Japan,1,3,1-3,4,Japan,France,Japan,TRUE
VNL Men,2023,2023/6/11,Argentina,Netherlands,3,2,3-2,5,Argentina,Netherlands,Argentina,TRUE
VNL Men,2023,2023/6/11,Brazil,United States,3,1,3-1,4,Brazil,Brazil,United States,FALSE
VNL Men,2023,2023/6/11,Canada,Germany,1,3,1-3,4,Germany,Canada,Germany,TRUE
VNL Men,2023,2023/6/20,Canada,Japan,1,3,1-3,4,Japan,Japan,Canada,FALSE
VNL Men,2023,2023/6/20,Germany,Iran,0,3,0-3,3,Iran,Iran,Germany,FALSE
VNL Men,2023,2023/6/20,Serbia,United States,1,3,1-3,4,United States,Serbia,United States,TRUE
VNL Men,2023,2023/6/20,Argentina,Slovenia,1,3,1-3,4,Slovenia,Argentina,Slovenia,TRUE
VNL Men,2023,2023/6/20,China,Netherlands,0,3,0-3,3,Netherlands,Netherlands,China,FALSE
VNL Men,2023,2023/6/20,Brazil,Bulgaria,3,0,3-0,3,Brazil,Brazil,Bulgaria,FALSE
VNL Men,2023,2023/6/21,Cuba,Japan,0,3,0-3,3,Japan,Japan,Cuba,FALSE
VNL Men,2023,2023/6/21,Iran,Italy,0,3,0-3,3,Italy,Italy,Iran,FALSE
VNL Men,2023,2023/6/21,China,United States,0,3,0-3,3,United States,United States,China,FALSE
VNL Men,2023,2023/6/21,Canada,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Canada,FALSE
VNL Men,2023,2023/6/21,Germany,Poland,2,3,2-3,5,Poland,Poland,Germany,FALSE
VNL Men,2023,2023/6/21,Argentina,France,3,1,3-1,4,Argentina,France,Argentina,TRUE
VNL Men,2023,2023/6/22,Brazil,Japan,2,3,2-3,5,Japan,Japan,Brazil,FALSE
VNL Men,2023,2023/6/22,China,Italy,0,3,0-3,3,Italy,Italy,China,FALSE
VNL Men,2023,2023/6/22,Germany,Serbia,1,3,1-3,4,Serbia,Serbia,Germany,FALSE
VNL Men,2023,2023/6/22,Bulgaria,Canada,1,3,1-3,4,Canada,Bulgaria,Canada,TRUE
VNL Men,2023,2023/6/22,Netherlands,Poland,2,3,2-3,5,Poland,Netherlands,Poland,TRUE
VNL Men,2023,2023/6/22,Cuba,Slovenia,1,3,1-3,4,Slovenia,Cuba,Slovenia,TRUE
VNL Men,2023,2023/6/23,Argentina,Bulgaria,3,0,3-0,3,Argentina,Argentina,Bulgaria,FALSE
VNL Men,2023,2023/6/23,Iran,United States,0,3,0-3,3,United States,United States,Iran,FALSE
VNL Men,2023,2023/6/23,Italy,Serbia,3,0,3-0,3,Italy,Italy,Serbia,FALSE
VNL Men,2023,2023/6/23,Cuba,France,0,3,0-3,3,France,France,Cuba,FALSE
VNL Men,2023,2023/6/24,Argentina,Japan,2,3,2-3,5,Japan,Japan,Argentina,FALSE
VNL Men,2023,2023/6/24,Poland,United States,0,3,0-3,3,United States,United States,Poland,FALSE
VNL Men,2023,2023/6/24,Brazil,Slovenia,3,1,3-1,4,Brazil,Slovenia,Brazil,TRUE
VNL Men,2023,2023/6/24,Iran,Netherlands,2,3,2-3,5,Netherlands,Iran,Netherlands,TRUE
VNL Men,2023,2023/6/24,Canada,France,0,3,0-3,3,France,France,Canada,FALSE
VNL Men,2023,2023/6/24,China,Germany,3,1,3-1,4,China,Germany,China,TRUE
VNL Men,2023,2023/6/25,Italy,Poland,1,3,1-3,4,Poland,Poland,Italy,FALSE
VNL Men,2023,2023/6/25,Bulgaria,Cuba,2,3,2-3,5,Cuba,Bulgaria,Cuba,TRUE
VNL Men,2023,2023/6/25,Netherlands,Serbia,2,3,2-3,5,Serbia,Netherlands,Serbia,TRUE
VNL Men,2023,2023/6/25,Brazil,France,3,1,3-1,4,Brazil,Brazil,France,FALSE
VNL Men,2023,2023/7/4,Brazil,Italy,1,3,1-3,4,Italy,Brazil,Italy,TRUE
VNL Men,2023,2023/7/4,China,Japan,2,3,2-3,5,Japan,China,Japan,TRUE
VNL Men,2023,2023/7/4,Argentina,Serbia,3,1,3-1,4,Argentina,Serbia,Argentina,TRUE
VNL Men,2023,2023/7/4,France,Iran,3,0,3-0,3,France,France,Iran,FALSE
VNL Men,2023,2023/7/5,Canada,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Canada,FALSE
VNL Men,2023,2023/7/5,Poland,Slovenia,3,2,3-2,5,Poland,Slovenia,Poland,TRUE
VNL Men,2023,2023/7/5,Bulgaria,Germany,0,3,0-3,3,Germany,Germany,Bulgaria,FALSE
VNL Men,2023,2023/7/5,Cuba,United States,0,3,0-3,3,United States,United States,Cuba,FALSE
VNL Men,2023,2023/7/6,Brazil,Netherlands,3,0,3-0,3,Brazil,Brazil,Netherlands,FALSE
VNL Men,2023,2023/7/6,Canada,Italy,2,3,2-3,5,Italy,Italy,Canada,FALSE
VNL Men,2023,2023/7/6,China,Slovenia,1,3,1-3,4,Slovenia,Slovenia,China,FALSE
VNL Men,2023,2023/7/6,Argentina,Germany,3,0,3-0,3,Argentina,Argentina,Germany,FALSE
VNL Men,2023,2023/7/6,Cuba,Serbia,2,3,2-3,5,Serbia,Cuba,Serbia,TRUE
VNL Men,2023,2023/7/6,Bulgaria,Iran,3,2,3-2,5,Bulgaria,Iran,Bulgaria,TRUE
VNL Men,2023,2023/7/7,Brazil,Poland,1,3,1-3,4,Poland,Poland,Brazil,FALSE
VNL Men,2023,2023/7/7,Italy,Slovenia,3,0,3-0,3,Italy,Italy,Slovenia,FALSE
VNL Men,2023,2023/7/7,Japan,Netherlands,3,1,3-1,4,Japan,Japan,Netherlands,FALSE
VNL Men,2023,2023/7/7,France,Serbia,3,1,3-1,4,France,Serbia,France,TRUE
VNL Men,2023,2023/7/7,Cuba,Germany,0,3,0-3,3,Germany,Germany,Cuba,FALSE
VNL Men,2023,2023/7/7,Argentina,United States,3,2,3-2,5,Argentina,Argentina,United States,FALSE
VNL Men,2023,2023/7/8,Brazil,China,3,0,3-0,3,Brazil,Brazil,China,FALSE
VNL Men,2023,2023/7/8,Canada,Poland,0,3,0-3,3,Poland,Poland,Canada,FALSE
VNL Men,2023,2023/7/8,Italy,Japan,3,1,3-1,4,Italy,Italy,Japan,FALSE
VNL Men,2023,2023/7/8,Bulgaria,Serbia,0,3,0-3,3,Serbia,Serbia,Bulgaria,FALSE
VNL Men,2023,2023/7/8,Argentina,Iran,3,2,3-2,5,Argentina,Argentina,Iran,FALSE
VNL Men,2023,2023/7/8,France,United States,0,3,0-3,3,United States,United States,France,FALSE
VNL Men,2023,2023/7/9,Canada,China,3,1,3-1,4,Canada,China,Canada,TRUE
VNL Men,2023,2023/7/9,Netherlands,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Netherlands,FALSE
VNL Men,2023,2023/7/9,Japan,Poland,0,3,0-3,3,Poland,Poland,Japan,FALSE
VNL Men,2023,2023/7/9,Cuba,Iran,3,2,3-2,5,Cuba,Cuba,Iran,FALSE
VNL Men,2023,2023/7/9,France,Germany,3,1,3-1,4,France,Germany,France,TRUE
VNL Men,2023,2023/7/9,Bulgaria,United States,0,3,0-3,3,United States,United States,Bulgaria,FALSE
VNL Men,2023,2023/7/19,France,United States,2,3,2-3,5,United States,United States,France,FALSE
VNL Men,2023,2023/7/19,Argentina,Italy,0,3,0-3,3,Italy,Italy,Argentina,FALSE
VNL Men,2023,2023/7/20,Japan,Slovenia,3,0,3-0,3,Japan,Japan,Slovenia,FALSE
VNL Men,2023,2023/7/20,Brazil,Poland,0,3,0-3,3,Poland,Poland,Brazil,FALSE
VNL Men,2023,2023/7/22,Japan,Poland,1,3,1-3,4,Poland,Japan,Poland,TRUE
VNL Men,2023,2023/7/22,Italy,United States,0,3,0-3,3,United States,United States,Italy,FALSE
VNL Men,2023,2023/7/23,Italy,Japan,2,3,2-3,5,Japan,Japan,Italy,FALSE
VNL Men,2023,2023/7/23,Poland,United States,3,1,3-1,4,Poland,Poland,United States,FALSE
Italian Women A1,2023-2024,7/10/2023 ,Trasportipesanti Casalmaggiore,Volley Bergamo 1991,2,3,2-3,5,Volley Bergamo 1991,Trasportipesanti Casalmaggiore,Volley Bergamo 1991,TRUE
Italian Women A1,2023-2024,8/10/2023 ,Prosecco Doc Imoco Conegliano,Itas Trentino,3,0,3-0,3,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Itas Trentino,FALSE
Italian Women A1,2023-2024,8/10/2023 ,Savino Del Bene Scandicci,Il Bisonte Firenze,3,0,3-0,3,Savino Del Bene Scandicci,Savino Del Bene Scandicci,Il Bisonte Firenze,FALSE
Italian Women A1,2023-2024,8/10/2023 ,Allianz Vero Volley Milano,Uyba Volley Busto Arsizio,3,0,3-0,3,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Uyba Volley Busto Arsizio,FALSE
Italian Women A1,2023-2024,8/10/2023 ,Megabox Ond. Savio Vallefoglia,Aeroitalia Smi Roma,2,3,2-3,5,Aeroitalia Smi Roma,Megabox Ond. Savio Vallefoglia,Aeroitalia Smi Roma,TRUE
Italian Women A1,2023-2024,8/10/2023 ,Wash4green Pinerolo,Honda Olivero S.Bernardo Cuneo,2,3,2-3,5,Honda Olivero S.Bernardo Cuneo,Honda Olivero S.Bernardo Cuneo,Wash4green Pinerolo,FALSE
Italian Women A1,2023-2024,8/10/2023 ,Reale Mutua Fenera Chieri '76,Igor Gorgonzola Novara,0,3,0-3,3,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Reale Mutua Fenera Chieri '76,FALSE
Italian Women A1,2023-2024,14/10/2023 ,Honda Olivero S.Bernardo Cuneo,Prosecco Doc Imoco Conegliano,0,3,0-3,3,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Honda Olivero S.Bernardo Cuneo,FALSE
Italian Women A1,2023-2024,14/10/2023 ,Itas Trentino,Allianz Vero Volley Milano,1,3,1-3,4,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Itas Trentino,FALSE
Italian Women A1,2023-2024,15/10/2023 ,Igor Gorgonzola Novara,Trasportipesanti Casalmaggiore,3,1,3-1,4,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Trasportipesanti Casalmaggiore,FALSE
Italian Women A1,2023-2024,15/10/2023 ,Volley Bergamo 1991,Megabox Ond. Savio Vallefoglia,1,3,1-3,4,Megabox Ond. Savio Vallefoglia,Volley Bergamo 1991,Megabox Ond. Savio Vallefoglia,TRUE
Italian Women A1,2023-2024,15/10/2023 ,Uyba Volley Busto Arsizio,Savino Del Bene Scandicci,1,3,1-3,4,Savino Del Bene Scandicci,Savino Del Bene Scandicci,Uyba Volley Busto Arsizio,FALSE
Italian Women A1,2023-2024,15/10/2023 ,Aeroitalia Smi Roma,Reale Mutua Fenera Chieri '76,0,3,0-3,3,Reale Mutua Fenera Chieri '76,Reale Mutua Fenera Chieri '76,Aeroitalia Smi Roma,FALSE
Italian Women A1,2023-2024,15/10/2023 ,Il Bisonte Firenze,Wash4green Pinerolo,2,3,2-3,5,Wash4green Pinerolo,Il Bisonte Firenze,Wash4green Pinerolo,TRUE
Italian Women A1,2023-2024,21/10/2023 ,Honda Olivero S.Bernardo Cuneo,Megabox Ond. Savio Vallefoglia,1,3,1-3,4,Megabox Ond. Savio Vallefoglia,Honda Olivero S.Bernardo Cuneo,Megabox Ond. Savio Vallefoglia,TRUE
Italian Women A1,2023-2024,22/10/2023 ,Il Bisonte Firenze,Volley Bergamo 1991,3,0,3-0,3,Il Bisonte Firenze,Il Bisonte Firenze,Volley Bergamo 1991,FALSE
Italian Women A1,2023-2024,22/10/2023 ,Wash4green Pinerolo,Igor Gorgonzola Novara,1,3,1-3,4,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Wash4green Pinerolo,FALSE
Italian Women A1,2023-2024,22/10/2023 ,Aeroitalia Smi Roma,Uyba Volley Busto Arsizio,3,2,3-2,5,Aeroitalia Smi Roma,Aeroitalia Smi Roma,Uyba Volley Busto Arsizio,FALSE
Italian Women A1,2023-2024,22/10/2023 ,Allianz Vero Volley Milano,Savino Del Bene Scandicci,3,2,3-2,5,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Savino Del Bene Scandicci,FALSE
Italian Women A1,2023-2024,22/10/2023 ,Trasportipesanti Casalmaggiore,Itas Trentino,3,0,3-0,3,Trasportipesanti Casalmaggiore,Trasportipesanti Casalmaggiore,Itas Trentino,FALSE
Italian Women A1,2023-2024,21/10/2023 ,Reale Mutua Fenera Chieri '76,Prosecco Doc Imoco Conegliano,1,3,1-3,4,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Reale Mutua Fenera Chieri '76,FALSE
Italian Women A1,2023-2024,28/10/2023 ,Volley Bergamo 1991,Honda Olivero S.Bernardo Cuneo,2,3,2-3,5,Honda Olivero S.Bernardo Cuneo,Honda Olivero S.Bernardo Cuneo,Volley Bergamo 1991,FALSE
Italian Women A1,2023-2024,29/10/2023 ,Savino Del Bene Scandicci,Trasportipesanti Casalmaggiore,3,1,3-1,4,Savino Del Bene Scandicci,Savino Del Bene Scandicci,Trasportipesanti Casalmaggiore,FALSE
Italian Women A1,2023-2024,29/10/2023 ,Megabox Ond. Savio Vallefoglia,Wash4green Pinerolo,0,3,0-3,3,Wash4green Pinerolo,Wash4green Pinerolo,Megabox Ond. Savio Vallefoglia,FALSE
Italian Women A1,2023-2024,29/10/2023 ,Itas Trentino,Il Bisonte Firenze,1,3,1-3,4,Il Bisonte Firenze,Il Bisonte Firenze,Itas Trentino,FALSE
Italian Women A1,2023-2024,29/10/2023 ,Uyba Volley Busto Arsizio,Igor Gorgonzola Novara,0,3,0-3,3,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Uyba Volley Busto Arsizio,FALSE
Italian Women A1,2023-2024,22/11/2023 ,Allianz Vero Volley Milano,Reale Mutua Fenera Chieri '76,3,0,3-0,3,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Reale Mutua Fenera Chieri '76,FALSE
Italian Women A1,2023-2024,22/11/2023 ,Prosecco Doc Imoco Conegliano,Aeroitalia Smi Roma,3,0,3-0,3,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Aeroitalia Smi Roma,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Il Bisonte Firenze,Aeroitalia Smi Roma,3,2,3-2,5,Il Bisonte Firenze,Il Bisonte Firenze,Aeroitalia Smi Roma,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Megabox Ond. Savio Vallefoglia,Reale Mutua Fenera Chieri '76,1,3,1-3,4,Reale Mutua Fenera Chieri '76,Reale Mutua Fenera Chieri '76,Megabox Ond. Savio Vallefoglia,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Igor Gorgonzola Novara,Itas Trentino,3,0,3-0,3,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Itas Trentino,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Trasportipesanti Casalmaggiore,Honda Olivero S.Bernardo Cuneo,0,3,0-3,3,Honda Olivero S.Bernardo Cuneo,Honda Olivero S.Bernardo Cuneo,Trasportipesanti Casalmaggiore,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Savino Del Bene Scandicci,Prosecco Doc Imoco Conegliano,1,3,1-3,4,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Savino Del Bene Scandicci,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Volley Bergamo 1991,Allianz Vero Volley Milano,1,3,1-3,4,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Volley Bergamo 1991,FALSE
Italian Women A1,2023-2024,1/11/2023 ,Wash4green Pinerolo,Uyba Volley Busto Arsizio,3,1,3-1,4,Wash4green Pinerolo,Uyba Volley Busto Arsizio,Wash4green Pinerolo,TRUE
Italian Women A1,2023-2024,4/11/2023 ,Itas Trentino,Savino Del Bene Scandicci,0,3,0-3,3,Savino Del Bene Scandicci,Savino Del Bene Scandicci,Itas Trentino,FALSE
Italian Women A1,2023-2024,4/11/2023 ,Reale Mutua Fenera Chieri '76,Wash4green Pinerolo,3,0,3-0,3,Reale Mutua Fenera Chieri '76,Reale Mutua Fenera Chieri '76,Wash4green Pinerolo,FALSE
Italian Women A1,2023-2024,4/11/2023 ,Aeroitalia Smi Roma,Volley Bergamo 1991,3,0,3-0,3,Aeroitalia Smi Roma,Aeroitalia Smi Roma,Volley Bergamo 1991,FALSE
Italian Women A1,2023-2024,5/11/2023 ,Allianz Vero Volley Milano,Prosecco Doc Imoco Conegliano,1,3,1-3,4,Prosecco Doc Imoco Conegliano,Allianz Vero Volley Milano,Prosecco Doc Imoco Conegliano,TRUE
Italian Women A1,2023-2024,5/11/2023 ,Uyba Volley Busto Arsizio,Megabox Ond. Savio Vallefoglia,3,0,3-0,3,Uyba Volley Busto Arsizio,Uyba Volley Busto Arsizio,Megabox Ond. Savio Vallefoglia,FALSE
Italian Women A1,2023-2024,5/11/2023 ,Il Bisonte Firenze,Trasportipesanti Casalmaggiore,0,3,0-3,3,Trasportipesanti Casalmaggiore,Trasportipesanti Casalmaggiore,Il Bisonte Firenze,FALSE
Italian Women A1,2023-2024,5/11/2023 ,Honda Olivero S.Bernardo Cuneo,Igor Gorgonzola Novara,0,3,0-3,3,Igor Gorgonzola Novara,Igor Gorgonzola Novara,Honda Olivero S.Bernardo Cuneo,FALSE
Italian Women A1,2023-2024,11/11/2023 ,Itas Trentino,Honda Olivero S.Bernardo Cuneo,3,2,3-2,5,Itas Trentino,Itas Trentino,Honda Olivero S.Bernardo Cuneo,FALSE
Italian Women A1,2023-2024,11/11/2023 ,Volley Bergamo 1991,Reale Mutua Fenera Chieri '76,2,3,2-3,5,Reale Mutua Fenera Chieri '76,Volley Bergamo 1991,Reale Mutua Fenera Chieri '76,TRUE
Italian Women A1,2023-2024,12/11/2023 ,Igor Gorgonzola Novara,Allianz Vero Volley Milano,1,3,1-3,4,Allianz Vero Volley Milano,Allianz Vero Volley Milano,Igor Gorgonzola Novara,FALSE
Italian Women A1,2023-2024,12/11/2023 ,Prosecco Doc Imoco Conegliano,Il Bisonte Firenze,3,0,3-0,3,Prosecco Doc Imoco Conegliano,Prosecco Doc Imoco Conegliano,Il Bisonte Firenze,FALSE
Italian Women A1,2023-2024,12/11/2023 ,Trasportipesanti Casalmaggiore,Uyba Volley Busto Arsizio,1,3,1-3,4,Uyba Volley Busto Arsizio,Uyba Volley Busto Arsizio,Trasportipesanti Casalmaggiore,FALSE
Italian Women A1,2023-2024,12/11/2023 ,Wash4green Pinerolo,Aeroitalia Smi Roma,3,0,3-0,3,Wash4green Pinerolo,Wash4green Pinerolo,Aeroitalia Smi Roma,FALSE
Italian Women A1,2023-2024,12/11/2023 ,Savino Del Bene Scandicci,Megabox Ond. Savio Vallefoglia,3,0,3-0,3,Savino Del Bene Scandicci,Savino Del Bene Scandicci,Megabox Ond. Savio Vallefoglia,FALSE
